post_id,reply_id,annotator,ANALOGY,CONTEXT SHIFT,EUPHEMISM,FALSE ASSERTION,HYPERBOLE,OTHER,OXYMORON,RHETORICAL QUESTION
7961696982295378944,15902900000000000000,Alessandro,0,1,0,0,1,0,0,0
4824587311292975104,4652170000000000000,Alessandro,0,0,0,0,1,0,0,1
7155693771356047360,18161900000000000000,Alessandro,0,1,0,0,0,1,0,0
5929177359346716672,5855670000000000000,Alessandro,0,0,0,1,0,0,0,0
12099038560420169728,10284800000000000000,Alessandro,1,0,0,0,0,0,1,0
18184193230015000576,3263700000000000000,Alessandro,0,0,1,1,0,0,0,0
4625931298966675456,3210680000000000000,Alessandro,0,0,0,1,1,0,0,0
12841824500967149568,13599000000000000000,Alessandro,1,1,0,0,0,0,0,0
8374295896122236928,9960700000000000000,Alessandro,1,0,0,0,1,0,0,0
8727623984665907200,457492000000000000,Alessandro,1,0,0,1,0,1,0,0
7033897647878070272,4174370000000000000,Alessandro,0,0,0,0,1,0,0,0
14927487631298500608,3984510000000000000,Alessandro,1,0,1,0,0,0,0,0
13999466197412390912,8582060000000000000,Alessandro,1,0,0,0,0,0,0,1
3045493691802176000,5881810000000000000,Alessandro,1,0,1,0,0,0,0,0
1679217763483685120,5478910000000000000,Alessandro,0,0,0,1,1,1,0,0
1894119167367809024,9033280000000000000,Alessandro,1,0,0,0,0,1,0,0
7462581045673427968,14235400000000000000,Alessandro,0,1,0,0,0,0,0,1
13615235974994190336,17921100000000000000,Alessandro,0,0,0,0,1,0,0,1
10765217889857900544,12979700000000000000,Alessandro,0,0,1,0,0,0,0,0
15318882553031809024,1457720000000000000,Alessandro,1,1,0,0,0,0,0,0
17212309861089630208,7213440000000000000,Alessandro,0,0,0,1,0,0,0,0
10543569204621709312,6478110000000000000,Alessandro,0,1,0,0,0,0,0,1
5168625731641847808,6591050000000000000,Alessandro,1,1,0,0,0,0,0,0
16167343742615099392,5036060000000000000,Alessandro,1,1,0,0,0,0,0,0
10294703797536010240,14854400000000000000,Alessandro,0,1,1,0,0,1,0,0
1387389979920722944,7871260000000000000,Alessandro,0,1,0,0,0,0,0,1
955066013186157056,7841040000000000000,Alessandro,1,0,0,0,0,0,0,1
9117711307358630912,7916660000000000000,Alessandro,0,1,1,0,0,0,0,0
4178595591294574080,16143900000000000000,Alessandro,0,1,0,1,0,1,0,0
11611645251669049344,7556330000000000000,Alessandro,1,1,0,0,0,0,0,0
225288318251128288,4629310000000000000,Alessandro,0,0,0,1,1,0,0,0
7892378751459500032,16252800000000000000,Alessandro,0,0,0,0,1,0,0,1
11369149162983489536,7888320000000000000,Alessandro,0,0,0,1,0,1,0,0
11558390939674519552,12676400000000000000,Alessandro,0,1,0,0,1,0,0,0
15313632188181430272,1809560000000000000,Alessandro,0,0,0,0,0,1,0,1
18387398790699239424,14325300000000000000,Alessandro,0,1,0,0,0,0,0,0
630286693384318080,11609600000000000000,Alessandro,1,0,0,0,0,0,0,1
9568837740787623936,2564980000000000000,Alessandro,0,0,0,0,1,1,0,0
1096004385442002944,18443900000000000000,Alessandro,0,0,1,0,1,0,0,0
11137418050832379904,3817000000000000000,Alessandro,0,0,1,0,0,0,0,1
10281194885854019584,14278400000000000000,Alessandro,1,0,0,0,0,0,0,1
3564946252259166208,11499800000000000000,Alessandro,0,0,0,1,0,0,0,1
6386761469479286784,6876180000000000000,Alessandro,0,0,0,0,1,0,0,0
7954843239286609920,8178510000000000000,Alessandro,1,0,0,1,0,0,0,0
492369763312032128,17520700000000000000,Alessandro,0,0,0,0,1,0,1,0
9470135544203663360,7580360000000000000,Alessandro,0,1,1,0,0,0,0,0
11899879421757480960,699644000000000000,Alessandro,0,0,0,1,0,1,0,0
8482609725250125824,11859000000000000000,Alessandro,0,0,1,0,0,0,0,0
2968926351009075200,10391400000000000000,Alessandro,1,0,0,0,0,0,0,0
7477401530957351936,1206180000000000000,Alessandro,0,0,0,0,1,0,0,1
13943343828615460864,9688060000000000000,Alessandro,1,0,1,0,0,0,0,0
888612363643747712,9901380000000000000,Alessandro,1,1,0,0,0,0,0,0
16300389213436499968,7681940000000000000,Alessandro,0,0,1,0,0,1,0,0
11854247542220259328,17907300000000000000,Alessandro,0,1,0,0,0,0,0,0
13001943395368790016,10475000000000000000,Alessandro,0,1,0,1,0,0,0,0
255308143867597184,3714510000000000000,Alessandro,0,0,1,0,0,1,0,0
14222935602055790592,11326200000000000000,Alessandro,0,0,0,1,0,0,0,1
6358833546371151872,2866560000000000000,Alessandro,0,0,0,0,0,1,0,0
4712286480051747840,4224410000000000000,Alessandro,0,0,1,0,0,0,0,1
7489313936521549824,7078800000000000000,Alessandro,0,0,0,1,0,0,0,1
10282731906424629248,15817800000000000000,Alessandro,1,0,0,0,0,0,0,1
5969871576465133568,14017200000000000000,Alessandro,1,0,0,0,0,0,1,0
4360074657789536256,16013400000000000000,Alessandro,0,0,0,0,1,0,0,0
5724857037789025280,13083000000000000000,Alessandro,0,0,0,0,1,0,0,1
13415829529808369664,7787860000000000000,Alessandro,0,0,1,1,0,0,0,1
15452154017271209984,11998800000000000000,Alessandro,0,0,1,0,0,0,0,0
15145496112429019136,11505300000000000000,Alessandro,1,0,0,0,1,0,0,0
15169059911459409920,10309200000000000000,Alessandro,0,0,1,0,0,0,0,0
3037383543302795776,6283640000000000000,Alessandro,0,1,0,0,0,0,0,0
11755500963030939648,12431600000000000000,Alessandro,0,0,1,0,0,0,0,0
9408805770120683520,2035190000000000000,Alessandro,0,0,0,0,1,0,0,0
1679217763483685120,6187690000000000000,Alessandro,0,1,0,0,0,1,0,0
2432806416627402752,11492500000000000000,Alessandro,1,1,0,0,0,0,0,0
